Target Distance (in),Hood Angle (deg),Shot Exit Velocity (ips),Flywheel Command Speed (ips)
95,51.9,184.69,248.16
95,46.9,174.80,237.78
95,41.9,172.18,234.59
95,36.9,169.85,231.76
95,31.9,168.65,230.30
96,76.9,NaN,NaN
96,71.9,291.18,336.47
96,66.9,226.70,287.50
96,61.9,204.85,268.57
96,56.9,194.28,257.87
96,51.9,185.50,248.98
96,46.9,175.71,238.89
96,41.9,173.07,235.68
96,36.9,170.82,232.94
96,31.9,169.65,231.52
97,76.9,NaN,NaN
97,71.9,293.86,338.82
97,66.9,228.45,288.75
97,61.9,205.79,269.52
97,56.9,195.12,258.72
97,51.9,186.30,249.80
97,46.9,176.63,240.00
97,41.9,173.96,236.76
97,36.9,171.79,234.12
97,31.9,170.64,232.73
98,76.9,NaN,NaN
98,71.9,296.54,341.18
98,66.9,230.21,290.00
98,61.9,206.73,270.48
98,56.9,195.96,259.57
98,51.9,187.11,250.61
98,46.9,177.37,240.75
98,41.9,174.85,237.84
98,36.9,172.75,235.29
98,31.9,171.64,233.94
99,76.9,NaN,NaN
99,71.9,299.22,343.53
99,66.9,231.97,291.25
99,61.9,207.67,271.43
99,56.9,196.80,260.43
99,51.9,187.92,251.43
99,46.9,178.12,241.51
99,41.9,175.74,238.92
99,36.9,173.72,236.47
99,31.9,172.64,235.15
100,76.9,NaN,NaN
100,71.9,301.90,345.88
100,66.9,233.73,292.50
100,61.9,208.61,272.38
100,56.9,197.64,261.28
100,51.9,188.72,252.24
100,46.9,178.86,242.26
100,41.9,176.63,240.00
100,36.9,174.69,237.65
100,31.9,173.63,236.36
101,76.9,NaN,NaN
101,71.9,304.58,348.24
101,66.9,235.49,293.75
101,61.9,209.55,273.33
101,56.9,198.49,262.13
101,51.9,189.53,253.06
101,46.9,179.61,243.02
101,41.9,177.37,240.75
101,36.9,175.66,238.82
101,31.9,174.63,237.58
102,76.9,NaN,NaN
102,71.9,307.25,350.59
102,66.9,237.25,295.00
102,61.9,210.50,274.29
102,56.9,199.33,262.98
102,51.9,190.34,253.88
102,46.9,180.35,243.77
102,41.9,178.12,241.51
102,36.9,176.63,240.00
102,31.9,175.63,238.79
103,76.9,NaN,NaN
103,71.9,309.93,352.94
103,66.9,239.01,296.25
103,61.9,211.44,275.24
103,56.9,200.17,263.83
103,51.9,191.14,254.69
103,46.9,181.10,244.53
103,41.9,178.86,242.26
103,36.9,177.34,240.73
103,31.9,176.63,240.00
104,76.9,NaN,NaN
104,71.9,312.61,355.29
104,66.9,240.77,297.50
104,61.9,212.38,276.19
104,56.9,201.01,264.68
104,51.9,191.95,255.51
104,46.9,181.84,245.28
104,41.9,179.61,243.02
104,36.9,178.06,241.45
104,31.9,177.33,240.71
105,76.9,NaN,NaN
105,71.9,315.29,357.65
105,66.9,242.53,298.75
105,61.9,213.32,277.14
105,56.9,201.85,265.53
105,51.9,192.75,256.33
105,46.9,182.59,246.04
105,41.9,180.35,243.77
105,36.9,178.78,242.18
